OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_1
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,ALPHA Local position X,ALPHA Local position Y,ALPHA Ship state,ALPHA Heading,ALPHA Latitude,ALPHA Longitude,BRAVO Local position X,BRAVO Local position Y,BRAVO Ship state,BRAVO Heading,BRAVO Latitude,BRAVO Longitude,CHARLIE Local position X,CHARLIE Local position Y,CHARLIE Ship state,CHARLIE Heading,CHARLIE Latitude,CHARLIE Longitude
,meters,meters,,degrees,,,meters,meters,,degrees,,,meters,meters,,degrees,,
00:00:00,"3,755.20","-7,039.42",Running,"252.00","57.659923","11.769122","1,037.62","-5,004.41",Running,"263.00","57.678266","11.723321","-1,739.75","-11,850.23",Running,"25.00","57.616524","11.676512"
00:00:01,"3,748.99","-7,041.95",Running,"252.01","57.659900","11.769018","1,031.03","-5,005.75",Running,"263.00","57.678254","11.723210","-1,736.72","-11,844.57",Running,"25.00","57.616575","11.676563"
00:00:02,"3,741.70","-7,044.95",Running,"252.03","57.659873","11.768895","1,023.28","-5,007.35",Running,"263.02","57.678239","11.723079","-1,733.13","-11,837.92",Running,"25.00","57.616635","11.676624"
00:00:03,"3,734.42","-7,047.98",Running,"252.08","57.659846","11.768772","1,015.56","-5,008.99",Running,"263.05","57.678224","11.722949","-1,729.52","-11,831.31",Running,"25.00","57.616695","11.676685"
00:00:04,"3,727.16","-7,051.04",Running,"252.13","57.659818","11.768650","1,007.85","-5,010.66",Running,"263.09","57.678209","11.722819","-1,725.87","-11,824.74",Running,"25.00","57.616754","11.676746"
00:00:05,"3,719.92","-7,054.12",Running,"252.21","57.659791","11.768528","1,000.16","-5,012.36",Running,"263.14","57.678194","11.722690","-1,722.21","-11,818.22",Running,"24.99","57.616813","11.676808"
00:00:06,"3,712.69","-7,057.21",Running,"252.29","57.659763","11.768406","992.48","-5,014.07",Running,"263.21","57.678179","11.722560","-1,718.55","-11,811.74",Running,"24.98","57.616871","11.676869"
00:00:07,"3,705.47","-7,060.30",Running,"252.39","57.659735","11.768284","984.83","-5,015.79",Running,"263.29","57.678163","11.722431","-1,714.90","-11,805.31",Running,"24.96","57.616930","11.676931"
00:00:08,"3,698.26","-7,063.40",Running,"252.49","57.659707","11.768163","977.19","-5,017.51",Running,"263.38","57.678148","11.722303","-1,711.26","-11,798.92",Running,"24.94","57.616987","11.676992"
00:00:09,"3,691.04","-7,066.48",Running,"252.61","57.659679","11.768041","969.56","-5,019.21",Running,"263.47","57.678132","11.722174","-1,707.64","-11,792.58",Running,"24.92","57.617044","11.677053"
00:00:10,"3,683.84","-7,069.55",Running,"252.72","57.659651","11.767920","961.95","-5,020.90",Running,"263.57","57.678117","11.722046","-1,704.05","-11,786.28",Running,"24.89","57.617101","11.677114"
00:00:11,"3,676.63","-7,072.61",Running,"252.84","57.659624","11.767798","954.34","-5,022.58",Running,"263.66","57.678102","11.721918","-1,700.49","-11,780.04",Running,"24.86","57.617158","11.677174"
00:00:12,"3,669.43","-7,075.64",Running,"252.96","57.659596","11.767677","946.76","-5,024.24",Running,"263.74","57.678087","11.721790","-1,696.95","-11,773.83",Running,"24.83","57.617214","11.677233"
00:00:13,"3,662.23","-7,078.66",Running,"253.07","57.659569","11.767555","939.18","-5,025.89",Running,"263.83","57.678072","11.721662","-1,693.43","-11,767.66",Running,"24.81","57.617269","11.677293"
00:00:14,"3,655.03","-7,081.66",Running,"253.19","57.659542","11.767434","931.62","-5,027.52",Running,"263.91","57.678057","11.721535","-1,689.93","-11,761.53",Running,"24.78","57.617325","11.677352"
00:00:15,"3,647.83","-7,084.65",Running,"253.30","57.659515","11.767313","924.07","-5,029.15",Running,"263.99","57.678043","11.721407","-1,686.45","-11,755.43",Running,"24.75","57.617380","11.677410"
00:00:16,"3,640.64","-7,087.62",Running,"253.41","57.659489","11.767191","916.53","-5,030.76",Running,"264.07","57.678028","11.721280","-1,683.00","-11,749.36",Running,"24.73","57.617434","11.677469"
00:00:17,"3,633.44","-7,090.57",Running,"253.52","57.659462","11.767070","909.00","-5,032.36",Running,"264.14","57.678014","11.721153","-1,679.56","-11,743.34",Running,"24.70","57.617489","11.677527"
00:00:18,"3,626.25","-7,093.51",Running,"253.62","57.659435","11.766949","901.49","-5,033.95",Running,"264.21","57.677999","11.721027","-1,676.13","-11,737.35",Running,"24.67","57.617543","11.677584"
00:00:19,"3,619.06","-7,096.43",Running,"253.72","57.659409","11.766828","893.99","-5,035.52",Running,"264.28","57.677985","11.720900","-1,672.72","-11,731.38",Running,"24.65","57.617597","11.677642"
00:00:20,"3,611.87","-7,099.34",Running,"253.82","57.659383","11.766707","886.49","-5,037.09",Running,"264.35","57.677971","11.720774","-1,669.33","-11,725.44",Running,"24.62","57.617650","11.677699"
00:00:21,"3,604.69","-7,102.23",Running,"253.92","57.659357","11.766586","879.01","-5,038.65",Running,"264.42","57.677957","11.720648","-1,665.95","-11,719.52",Running,"24.59","57.617704","11.677756"
00:00:22,"3,597.50","-7,105.11",Running,"254.02","57.659331","11.766464","871.55","-5,040.19",Running,"264.48","57.677943","11.720522","-1,662.58","-11,713.61",Running,"24.56","57.617757","11.677813"
00:00:23,"3,590.32","-7,107.97",Running,"254.11","57.659305","11.766343","864.09","-5,041.73",Running,"264.54","57.677929","11.720396","-1,659.21","-11,707.73",Running,"24.52","57.617810","11.677869"
00:00:24,"3,583.14","-7,110.82",Running,"254.20","57.659279","11.766222","856.64","-5,043.25",Running,"264.60","57.677916","11.720271","-1,655.85","-11,701.84",Running,"24.49","57.617863","11.677926"
00:00:25,"3,575.96","-7,113.65",Running,"254.28","57.659254","11.766101","849.21","-5,044.76",Running,"264.66","57.677902","11.720146","-1,652.51","-11,695.99",Running,"24.46","57.617916","11.677983"
00:00:26,"3,568.78","-7,116.47",Running,"254.37","57.659228","11.765980","841.78","-5,046.27",Running,"264.73","57.677888","11.720020","-1,649.17","-11,690.13",Running,"24.43","57.617969","11.678039"
00:00:27,"3,561.60","-7,119.28",Running,"254.45","57.659203","11.765859","834.37","-5,047.76",Running,"264.80","57.677875","11.719896","-1,645.83","-11,684.29",Running,"24.39","57.618022","11.678095"
00:00:28,"3,554.43","-7,122.07",Running,"254.54","57.659178","11.765739","826.97","-5,049.24",Running,"264.85","57.677862","11.719771","-1,642.50","-11,678.46",Running,"24.36","57.618074","11.678151"
00:00:29,"3,547.26","-7,124.87",Running,"254.65","57.659153","11.765618","819.57","-5,050.71",Running,"264.89","57.677848","11.719646","-1,639.19","-11,672.64",Running,"24.33","57.618127","11.678207"
00:00:30,"3,540.09","-7,127.65",Running,"254.77","57.659128","11.765497","812.19","-5,052.16",Running,"264.94","57.677835","11.719522","-1,635.88","-11,666.84",Running,"24.29","57.618179","11.678263"
00:00:31,"3,532.92","-7,130.41",Running,"254.90","57.659103","11.765376","804.82","-5,053.60",Running,"264.97","57.677822","11.719397","-1,632.58","-11,661.05",Running,"24.26","57.618232","11.678318"
00:00:32,"3,525.75","-7,133.16",Running,"255.03","57.659078","11.765255","797.45","-5,055.02",Running,"264.97","57.677810","11.719273","-1,629.29","-11,655.26",Running,"24.22","57.618284","11.678374"
00:00:33,"3,518.58","-7,135.90",Running,"255.16","57.659053","11.765134","790.10","-5,056.43",Running,"264.94","57.677797","11.719149","-1,626.01","-11,649.49",Running,"24.19","57.618336","11.678429"
00:00:34,"3,511.42","-7,138.61",Running,"255.29","57.659029","11.765014","782.75","-5,057.81",Running,"264.88","57.677784","11.719026","-1,622.73","-11,643.72",Running,"24.16","57.618388","11.678484"
00:00:35,"3,504.25","-7,141.31",Running,"255.43","57.659004","11.764893","775.42","-5,059.17",Running,"264.77","57.677772","11.718902","-1,619.46","-11,637.98",Running,"24.12","57.618440","11.678539"
00:00:36,"3,497.08","-7,144.00",Running,"255.56","57.658980","11.764772","768.09","-5,060.52",Running,"264.62","57.677760","11.718779","-1,616.20","-11,632.24",Running,"24.09","57.618492","11.678594"
00:00:37,"3,489.92","-7,146.67",Running,"255.68","57.658956","11.764651","760.78","-5,061.86",Running,"264.43","57.677748","11.718655","-1,612.96","-11,626.51",Running,"24.05","57.618543","11.678649"
00:00:38,"3,482.75","-7,149.33",Running,"255.81","57.658932","11.764531","753.48","-5,063.20",Running,"264.23","57.677736","11.718532","-1,609.71","-11,620.79",Running,"24.02","57.618595","11.678704"
00:00:39,"3,475.59","-7,151.96",Running,"255.94","57.658908","11.764410","746.19","-5,064.55",Running,"264.02","57.677724","11.718409","-1,606.47","-11,615.08",Running,"23.98","57.618647","11.678758"
00:00:40,"3,468.43","-7,154.59",Running,"256.06","57.658885","11.764289","738.91","-5,065.90",Running,"263.81","57.677711","11.718287","-1,603.25","-11,609.38",Running,"23.95","57.618698","11.678813"
00:00:41,"3,461.26","-7,157.20",Running,"256.18","57.658861","11.764168","731.64","-5,067.26",Running,"263.59","57.677699","11.718164","-1,600.03","-11,603.69",Running,"23.91","57.618749","11.678867"
00:00:42,"3,454.10","-7,159.79",Running,"256.30","57.658838","11.764048","724.37","-5,068.62",Running,"263.38","57.677687","11.718042","-1,596.81","-11,598.01",Running,"23.88","57.618801","11.678921"
00:00:43,"3,446.94","-7,162.37",Running,"256.42","57.658815","11.763927","717.12","-5,069.99",Running,"263.17","57.677675","11.717920","-1,593.61","-11,592.33",Running,"23.84","57.618852","11.678975"
00:00:44,"3,439.78","-7,164.93",Running,"256.53","57.658791","11.763806","709.88","-5,071.37",Running,"262.98","57.677662","11.717797","-1,590.41","-11,586.65",Running,"23.81","57.618903","11.679029"
00:00:45,"3,432.61","-7,167.48",Running,"256.65","57.658769","11.763685","702.65","-5,072.75",Running,"262.79","57.677650","11.717676","-1,587.22","-11,580.96",Running,"23.77","57.618954","11.679083"
00:00:46,"3,425.45","-7,170.01",Running,"256.76","57.658746","11.763565","695.43","-5,074.14",Running,"262.60","57.677637","11.717554","-1,584.03","-11,575.28",Running,"23.74","57.619006","11.679137"
00:00:47,"3,418.29","-7,172.52",Running,"256.87","57.658723","11.763444","688.21","-5,075.54",Running,"262.41","57.677625","11.717432","-1,580.84","-11,569.59",Running,"23.71","57.619057","11.679190"
00:00:48,"3,411.13","-7,175.02",Running,"256.97","57.658701","11.763323","681.01","-5,076.94",Running,"262.22","57.677612","11.717311","-1,577.64","-11,563.90",Running,"23.67","57.619109","11.679244"
00:00:49,"3,403.97","-7,177.50",Running,"257.07","57.658678","11.763203","673.81","-5,078.35",Running,"262.02","57.677599","11.717190","-1,574.45","-11,558.18",Running,"23.64","57.619160","11.679298"
00:00:50,"3,396.81","-7,179.97",Running,"257.17","57.658656","11.763082","666.63","-5,079.77",Running,"261.83","57.677587","11.717068","-1,571.25","-11,552.47",Running,"23.60","57.619212","11.679352"
00:00:51,"3,389.65","-7,182.42",Running,"257.27","57.658634","11.762961","659.45","-5,081.21",Running,"261.63","57.677574","11.716947","-1,568.06","-11,546.74",Running,"23.57","57.619263","11.679406"
00:00:52,"3,382.49","-7,184.86",Running,"257.36","57.658612","11.762841","652.28","-5,082.66",Running,"261.44","57.677560","11.716827","-1,564.87","-11,541.00",Running,"23.53","57.619315","11.679460"
00:00:53,"3,375.33","-7,187.28",Running,"257.45","57.658590","11.762720","645.13","-5,084.13",Running,"261.24","57.677547","11.716706","-1,561.67","-11,535.26",Running,"23.50","57.619367","11.679513"
00:00:54,"3,368.17","-7,189.69",Running,"257.54","57.658568","11.762599","637.98","-5,085.60",Running,"261.02","57.677534","11.716586","-1,558.48","-11,529.52",Running,"23.47","57.619419","11.679567"
00:00:55,"3,361.01","-7,192.08",Running,"257.62","57.658547","11.762479","630.84","-5,087.09",Running,"260.79","57.677521","11.716465","-1,555.29","-11,523.75",Running,"23.43","57.619471","11.679621"
00:00:56,"3,353.84","-7,194.45",Running,"257.70","57.658525","11.762358","623.72","-5,088.59",Running,"260.57","57.677507","11.716345","-1,552.10","-11,517.97",Running,"23.40","57.619523","11.679675"
