OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_1
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Local position X,Local position Y,Heading,Wind effect. Longitudinal force,Wind effect. Lateral force,Wind effect. Pitching moment,Hydrodynamics. Longitudinal force,Hydrodynamics. Lateral force,Hydrodynamics. Pitching moment,Wave effect. Longitudinal force,Wave effect. Lateral force,Wave effect. Pitching moment,Ship-Bank interaction. Longitudinal force,Ship-Bank interaction. Lateral force,Ship-Bank interaction. Pitching moment,Fender. Longitudinal force,Fender. Lateral force,Fender. Pitching moment,Total force from all the mooring lines. Longitudinal force,Total force from all the mooring lines. Lateral force,Total force from all the mooring lines. Pitching moment,Port anchor. Longitudinal force,Port anchor. Lateral force,Port anchor. Pitching moment,Starboard anchor. Longitudinal force,Starboard anchor. Lateral force,Starboard anchor. Pitching moment,Ship-Ship interaction. Longitudinal force,Ship-Ship interaction. Lateral force,Ship-Ship interaction. Pitching moment,Propeller. Longitudal force,Propeller. Lateral force,Propeller. Pitching moment,Bow thruster. Longitudinal force,Bow thruster. Lateral force,Bow thruster. Pitching moment,Stern thruster. Longitudinal force,Stern thruster. Lateral force,Stern thruster. Pitching moment,Rudders (all). Longitudal force,Rudders (all). Lateral force,Rudders (all). Pitching moment
,meters,meters,degrees,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m
00:00:00,"318.01","-5,110.24","239.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:01,"312.35","-5,114.17","239.01","-6.51","-71.13","-659.44","-68.84","42.03","460.81","-0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","71.85","0.00","-27.42","0.00","0.00","0.00","0.00","0.00","0.00","-1.60","0.17","-12.76"
00:00:02,"305.70","-5,118.81","239.02","-6.50","-70.88","-658.35","-68.81","47.09","269.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","73.12","0.00","-23.13","0.00","0.00","0.00","0.00","0.00","0.00","-1.63","1.00","-77.04"
00:00:03,"299.08","-5,123.49","239.05","-6.50","-70.60","-657.27","-68.76","52.89","119.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","76.87","0.00","-19.96","0.00","0.00","0.00","0.00","0.00","0.00","-1.67","2.29","-176.50"
00:00:04,"292.47","-5,128.18","239.09","-6.49","-70.35","-656.58","-68.72","59.98","31.86","-0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80.13","0.00","-13.72","0.00","0.00","0.00","0.00","0.00","0.00","-1.72","3.82","-294.31"
00:00:05,"285.88","-5,132.90","239.14","-6.50","-70.18","-656.58","-68.72","65.79","-57.34","-0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","84.32","0.00","-9.07","0.00","0.00","0.00","0.00","0.00","0.00","-1.78","5.50","-423.53"
00:00:06,"279.29","-5,137.63","239.19","-6.51","-70.08","-657.32","-68.76","69.91","-148.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","88.66","0.00","-4.10","0.00","0.00","0.00","0.00","0.00","0.00","-1.84","7.26","-558.66"
00:00:07,"272.69","-5,142.37","239.25","-6.52","-70.05","-658.73","-68.85","72.50","-230.56","0.00","0.00","-0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","90.57","0.00","5.52","0.00","0.00","0.00","0.00","0.00","0.00","-1.90","8.95","-689.02"
00:00:08,"266.09","-5,147.11","239.32","-6.54","-70.08","-660.62","-68.97","73.89","-292.66","-0.00","0.00","-0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","93.74","0.00","5.89","0.00","0.00","0.00","0.00","0.00","0.00","-1.97","10.55","-812.57"
00:00:09,"259.49","-5,151.84","239.38","-6.57","-70.14","-662.83","-69.11","74.43","-325.95","-0.00","0.00","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","95.81","0.00","1.01","0.00","0.00","0.00","0.00","0.00","0.00","-2.03","12.00","-923.87"
