OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_1
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Local position X,Local position Y,Heading,Autopilot state,Autopilot course,Rate of turn,Port telegraph order,Starboard telegraph order,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Port rudder order,Starboard rudder order,Port rudder angle,Starboard rudder angle,Bow thruster power order,Bow thruster gained power,Stern thruster power order,Stern thruster gained power,Distance made Good,Water depth (echo-sounder),Draft at ship bow,Draft at ship stern,Under keel clearance fwd,Under keel clearance aft,Current speed,Current direction,True wind speed,True wind direction,Relative wind speed,Relative wind direction,Significant wave height,Wave direction,Longitudinal speed through the water,Transverse speed through the water,Longitudinal speed,Transverse speed,Transverse speed at ship's bow,Transverse speed at ship's stern,Drift angle,Surge,Surge speed,Sway,Sway speed,Heave,Heave speed,Yaw angle,Yaw rate,Roll angle,Roll rate,Pitch angle,Pitch rate,Height above the water
,meters,meters,degrees,,degrees,degrees_per_minute,,,,,,,degrees,degrees,degrees,degrees,,percent_tenths,,percent_tenths,meters,meters,meters,meters,meters,meters,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,degrees,meters,degrees,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,degrees,meters,meters_per_second,meters,meters_per_second,meters,meters_per_second,degrees,degrees_per_minute,degrees,degrees_per_minute,degrees,degrees_per_minute,meters
00:00:00,"3,755.20","-7,039.42","252.00",Off,"252.00","0.0","40.000000","40.000000","104.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","3.00","0.00","0.00","0.00","0.00","0.00","0.31","180.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.37","7.77","7.87","-0.66","-0.66","-0.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.29","-49.1","359.95","-0.0","-0.09"
00:00:01,"3,748.99","-7,041.95","252.01",On,"252.00","1.1","40.000000","40.000000","104.000000","105.000000","89.000000","89.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","11.00","15.80","6.80","6.69","9.00","9.11","0.31","180.00","15.43","330.00","18.27","52.70","0.30","0.00","-0.29","7.77","7.87","-0.58","-0.55","-0.61","4.17","1.67","-0.00","-0.12","0.08","-0.00","-0.01","0.00","0.3","359.60","-47.4","359.96","1.2","-0.10"
00:00:02,"3,741.70","-7,044.95","252.03",On,"252.00","2.1","40.000000","40.000000","104.000000","104.000000","82.000000","82.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","19.00","15.80","6.81","6.74","8.99","9.06","0.31","180.00","15.43","330.00","18.24","52.60","0.30","0.00","-0.32","7.76","7.85","-0.62","-0.57","-0.67","4.38","4.45","-0.01","-0.33","0.04","-0.01","-0.04","0.02","0.9","358.89","-39.0","359.99","1.6","-0.14"
00:00:03,"3,734.44","-7,047.97","252.08",On,"252.00","3.0","40.000000","40.000000","103.000000","103.000000","75.000000","75.000000","0.00","0.00","359.00","359.00","0.000000","0.0","0.000000","0.0","27.00","15.80","6.81","6.81","8.99","8.99","0.31","180.00","15.43","330.00","18.20","52.60","0.30","0.00","-0.36","7.73","7.82","-0.66","-0.59","-0.73","4.68","5.46","-0.03","-0.43","0.01","-0.01","-0.00","0.05","1.2","358.32","-28.5","0.01","1.0","-0.16"
00:00:04,"3,727.22","-7,051.02","252.13",On,"252.00","3.9","40.000000","40.000000","103.000000","103.000000","69.000000","69.000000","0.00","0.00","359.00","359.00","0.000000","0.0","0.000000","0.0","35.00","15.80","6.79","6.84","9.01","8.96","0.31","180.00","15.43","330.00","18.15","52.50","0.30","0.00","-0.41","7.70","7.79","-0.70","-0.61","-0.80","5.01","5.82","-0.05","-0.48","-0.03","0.00","0.00","0.10","1.4","357.94","-17.9","0.02","0.2","-0.17"
00:00:05,"3,720.04","-7,054.08","252.21",On,"252.00","4.9","40.000000","40.000000","104.000000","103.000000","64.000000","64.000000","0.00","0.00","359.00","359.00","0.000000","0.0","0.000000","0.0","43.00","15.80","6.81","6.85","8.99","8.95","0.31","180.00","15.43","330.00","18.11","52.50","0.30","0.00","-0.44","7.66","7.75","-0.73","-0.62","-0.86","5.29","5.93","-0.07","-0.53","-0.04","0.01","0.01","0.16","1.5","357.71","-9.2","0.01","-0.8","-0.18"
00:00:06,"3,712.91","-7,057.14","252.30",On,"252.00","5.7","40.000000","40.000000","104.000000","103.000000","62.000000","62.000000","0.00","0.00","358.00","358.00","0.000000","0.0","0.000000","0.0","50.00","15.80","6.83","6.84","8.97","8.96","0.31","180.00","15.43","330.00","18.07","52.50","0.30","0.00","-0.46","7.61","7.71","-0.76","-0.62","-0.90","5.52","5.95","-0.09","-0.56","-0.05","0.02","-0.00","0.23","1.5","357.60","-3.1","0.00","-1.0","-0.19"
00:00:07,"3,705.81","-7,060.20","252.40",On,"252.00","6.5","40.000000","40.000000","104.000000","103.000000","61.000000","61.000000","0.00","0.00","358.00","358.00","0.000000","0.0","0.000000","0.0","58.00","15.80","6.85","6.83","8.95","8.97","0.31","180.00","15.43","330.00","18.04","52.50","0.30","0.00","-0.48","7.58","7.67","-0.77","-0.62","-0.94","5.70","5.94","-0.11","-0.58","-0.05","0.02","0.02","0.32","1.5","357.57","0.8","359.99","-0.6","-0.18"
00:00:08,"3,698.75","-7,063.25","252.51",On,"252.00","7.1","40.000000","40.000000","105.000000","103.000000","61.000000","61.000000","0.00","0.00","358.00","358.00","0.000000","0.0","0.000000","0.0","66.00","15.80","6.85","6.81","8.95","8.99","0.31","180.00","15.43","330.00","18.02","52.50","0.30","0.00","-0.49","7.54","7.63","-0.79","-0.61","-0.97","5.83","5.92","-0.12","-0.60","-0.04","0.03","-0.00","0.40","1.4","357.59","3.0","359.98","-0.1","-0.19"
00:00:09,"3,691.73","-7,066.28","252.63",On,"252.00","7.5","40.000000","40.000000","105.000000","103.000000","61.000000","61.000000","0.00","0.00","357.00","357.00","0.000000","0.0","0.000000","0.0","73.00","15.80","6.84","6.80","8.96","9.00","0.31","180.00","15.43","330.00","18.00","52.50","0.30","0.00","-0.49","7.50","7.59","-0.79","-0.61","-0.98","5.92","5.89","-0.13","-0.61","-0.02","0.03","0.04","0.50","1.2","357.63","3.0","359.99","0.4","-0.16"
00:00:10,"3,684.73","-7,069.29","252.76",On,"253.00","7.8","40.000000","40.000000","105.000000","103.000000","61.000000","61.000000","0.00","0.00","356.00","356.00","0.000000","0.0","0.000000","0.0","81.00","15.80","6.81","6.79","8.99","9.01","0.31","180.00","15.43","330.00","17.99","52.50","0.30","0.00","-0.50","7.46","7.55","-0.79","-0.61","-0.99","5.98","5.86","-0.14","-0.62","-0.01","0.04","0.01","0.60","0.9","357.68","2.6","359.99","0.4","-0.15"
00:00:11,"3,677.77","-7,072.27","252.89",On,"254.00","7.9","40.000000","40.000000","105.000000","103.000000","61.000000","61.000000","0.00","0.00","354.00","354.00","0.000000","0.0","0.000000","0.0","89.00","15.80","6.79","6.78","9.01","9.02","0.31","180.00","15.43","330.00","17.98","52.50","0.30","0.00","-0.50","7.42","7.51","-0.80","-0.60","-1.00","6.01","5.83","-0.15","-0.62","0.01","0.04","0.02","0.69","0.6","357.72","2.0","0.00","0.4","-0.12"
00:00:12,"3,670.84","-7,075.22","253.01",On,"254.00","7.1","40.000000","40.000000","105.000000","103.000000","61.000000","61.000000","0.00","0.00","352.00","352.00","0.000000","0.0","0.000000","0.0","96.00","15.80","6.76","6.76","9.04","9.04","0.31","180.00","15.43","330.00","17.97","52.50","0.30","0.00","-0.49","7.38","7.47","-0.79","-0.62","-0.97","6.02","5.80","-0.15","-0.62","0.02","0.04","0.01","0.78","0.1","357.73","-0.0","0.00","-0.0","-0.10"
00:00:13,"3,663.94","-7,078.14","253.12",On,"254.00","6.3","40.000000","40.000000","105.000000","103.000000","61.000000","61.000000","0.00","0.00","352.00","352.00","0.000000","0.0","0.000000","0.0","104.00","15.80","6.73","6.73","9.07","9.07","0.31","180.00","15.43","330.00","17.97","52.50","0.30","0.00","-0.49","7.35","7.44","-0.78","-0.63","-0.94","6.01","5.77","-0.16","-0.62","0.04","0.04","0.01","0.85","-0.4","357.71","-1.3","0.00","-0.2","-0.08"
00:00:14,"3,657.06","-7,081.03","253.22",On,"254.00","5.6","40.000000","40.000000","105.000000","103.000000","61.000000","61.000000","0.00","0.00","353.00","353.00","0.000000","0.0","0.000000","0.0","111.00","15.80","6.73","6.72","9.07","9.08","0.31","180.00","15.43","330.00","17.96","52.50","0.30","0.00","-0.48","7.31","7.40","-0.78","-0.64","-0.92","6.00","5.74","-0.16","-0.61","0.05","0.04","-0.01","0.91","-0.7","357.69","-2.2","0.00","-0.3","-0.07"
00:00:15,"3,650.22","-7,083.90","253.32",On,"254.00","5.5","40.000000","40.000000","105.000000","103.000000","61.000000","61.000000","0.00","0.00","355.00","355.00","0.000000","0.0","0.000000","0.0","118.00","15.80","6.73","6.71","9.07","9.09","0.31","180.00","15.43","330.00","17.95","52.50","0.30","0.00","-0.48","7.27","7.36","-0.78","-0.64","-0.92","6.02","5.71","-0.16","-0.61","0.05","0.03","-0.00","0.96","-0.7","357.67","-1.2","359.99","-0.1","-0.06"
00:00:16,"3,643.40","-7,086.76","253.41",On,"254.00","6.0","40.000000","40.000000","105.000000","103.000000","61.000000","61.000000","0.00","0.00","358.00","358.00","0.000000","0.0","0.000000","0.0","126.00","15.80","6.73","6.71","9.07","9.09","0.31","180.00","15.43","330.00","17.93","52.50","0.30","0.00","-0.49","7.24","7.33","-0.78","-0.64","-0.94","6.08","5.69","-0.16","-0.61","0.05","0.03","-0.02","1.00","-0.2","357.67","0.5","359.99","0.1","-0.07"
00:00:17,"3,636.62","-7,089.59","253.52",On,"254.00","6.7","40.000000","40.000000","104.000000","103.000000","61.000000","61.000000","0.00","0.00","359.00","359.00","0.000000","0.0","0.000000","0.0","133.00","15.80","6.73","6.72","9.07","9.08","0.31","180.00","15.43","330.00","17.92","52.50","0.30","0.00","-0.50","7.21","7.30","-0.79","-0.63","-0.96","6.17","5.66","-0.16","-0.61","0.04","0.02","-0.01","1.05","0.3","357.69","1.9","0.00","0.2","-0.08"
00:00:18,"3,629.86","-7,092.42","253.64",On,"254.00","7.6","40.000000","40.000000","104.000000","102.000000","61.000000","61.000000","0.00","0.00","358.00","358.00","0.000000","0.0","0.000000","0.0","140.00","15.80","6.75","6.74","9.05","9.06","0.31","180.00","15.43","330.00","17.91","52.50","0.30","0.00","-0.50","7.18","7.26","-0.80","-0.62","-1.00","6.27","5.63","-0.16","-0.62","0.04","0.02","-0.02","1.11","0.8","357.72","2.4","0.00","0.1","-0.09"
00:00:19,"3,623.13","-7,095.22","253.78",On,"254.00","8.2","40.000000","40.000000","104.000000","102.000000","61.000000","61.000000","0.00","0.00","358.00","358.00","0.000000","0.0","0.000000","0.0","148.00","15.80","6.75","6.74","9.05","9.06","0.31","180.00","15.43","330.00","17.89","52.50","0.30","0.00","-0.51","7.14","7.23","-0.81","-0.61","-1.01","6.34","5.61","-0.16","-0.63","0.04","0.02","-0.00","1.18","0.9","357.76","2.2","0.00","0.1","-0.09"
00:00:20,"3,616.43","-7,098.00","253.92",On,"254.00","8.5","40.000000","40.000000","104.000000","102.000000","61.000000","61.000000","0.00","0.00","358.00","358.00","0.000000","0.0","0.000000","0.0","155.00","15.80","6.75","6.74","9.05","9.06","0.31","180.00","15.43","330.00","17.89","52.40","0.30","0.00","-0.51","7.11","7.20","-0.81","-0.60","-1.03","6.40","5.58","-0.15","-0.63","0.05","0.02","-0.01","1.26","0.8","357.79","1.4","0.00","-0.0","-0.10"
00:00:21,"3,609.75","-7,100.77","254.06",On,"254.00","8.7","40.000000","40.000000","104.000000","102.000000","61.000000","61.000000","0.00","0.00","357.00","357.00","0.000000","0.0","0.000000","0.0","162.00","15.80","6.77","6.77","9.03","9.03","0.31","180.00","15.43","330.00","17.88","52.40","0.30","0.00","-0.51","7.08","7.16","-0.81","-0.60","-1.03","6.45","5.56","-0.15","-0.64","0.05","0.01","-0.04","1.33","0.7","357.81","0.6","0.00","-0.1","-0.13"
00:00:22,"3,603.10","-7,103.50","254.21",On,"254.00","8.9","40.000000","40.000000","104.000000","102.000000","61.000000","61.000000","0.00","0.00","357.00","357.00","0.000000","0.0","0.000000","0.0","169.00","15.80","6.80","6.79","9.00","9.01","0.31","180.00","15.43","330.00","17.87","52.40","0.30","0.00","-0.52","7.05","7.13","-0.82","-0.60","-1.04","6.50","5.53","-0.15","-0.64","0.06","0.01","-0.01","1.41","0.5","357.81","-0.2","0.00","-0.1","-0.15"
00:00:23,"3,596.47","-7,106.22","254.36",On,"254.00","9.0","40.000000","40.000000","104.000000","102.000000","61.000000","61.000000","0.00","0.00","357.00","357.00","0.000000","0.0","0.000000","0.0","176.00","15.80","6.79","6.78","9.01","9.02","0.31","180.00","15.43","330.00","17.87","52.30","0.30","0.00","-0.52","7.02","7.10","-0.82","-0.60","-1.05","6.55","5.51","-0.15","-0.64","0.06","0.02","0.03","1.48","0.4","357.80","-1.0","0.00","-0.1","-0.13"
00:00:24,"3,589.86","-7,108.91","254.50",On,"254.00","9.0","40.000000","40.000000","104.000000","102.000000","61.000000","61.000000","0.00","0.00","356.00","356.00","0.000000","0.0","0.000000","0.0","184.00","15.80","6.76","6.75","9.04","9.05","0.31","180.00","15.43","330.00","17.86","52.30","0.30","0.00","-0.52","6.99","7.07","-0.82","-0.61","-1.05","6.61","5.48","-0.15","-0.64","0.06","0.04","0.03","1.55","0.2","357.79","-1.2","0.00","0.0","-0.10"
00:00:25,"3,583.28","-7,111.58","254.65",On,"254.00","8.9","40.000000","40.000000","103.000000","101.000000","61.000000","61.000000","0.00","0.00","356.00","356.00","0.000000","0.0","0.000000","0.0","191.00","15.80","6.76","6.75","9.04","9.05","0.31","180.00","15.43","330.00","17.86","52.20","0.30","0.00","-0.53","6.96","7.04","-0.83","-0.61","-1.05","6.67","5.46","-0.14","-0.65","0.06","0.03","-0.01","1.62","0.1","357.76","-1.4","0.00","0.1","-0.11"
00:00:26,"3,576.72","-7,114.23","254.80",On,"254.00","8.9","40.000000","40.000000","103.000000","101.000000","61.000000","61.000000","0.00","0.00","356.00","356.00","0.000000","0.0","0.000000","0.0","198.00","15.80","6.77","6.77","9.03","9.03","0.31","180.00","15.43","330.00","17.85","52.20","0.30","0.00","-0.53","6.93","7.01","-0.83","-0.61","-1.06","6.72","5.43","-0.14","-0.65","0.06","0.02","-0.02","1.69","0.1","357.74","-1.4","0.00","0.0","-0.13"
00:00:27,"3,570.19","-7,116.85","254.95",On,"254.00","8.9","40.000000","40.000000","103.000000","101.000000","61.000000","61.000000","0.00","0.00","356.00","356.00","0.000000","0.0","0.000000","0.0","205.00","15.80","6.79","6.78","9.01","9.02","0.31","180.00","15.43","330.00","17.84","52.10","0.30","0.00","-0.53","6.90","6.98","-0.83","-0.62","-1.06","6.79","5.41","-0.14","-0.65","0.07","0.02","-0.00","1.75","0.0","357.72","-1.3","0.00","0.0","-0.14"
