OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_1
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Local position X,Local position Y,Heading,Autopilot state,Autopilot course,Rate of turn,Port telegraph order,Starboard telegraph order,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Port rudder order,Starboard rudder order,Port rudder angle,Starboard rudder angle,Bow thruster power order,Bow thruster gained power,Stern thruster power order,Stern thruster gained power,Distance made Good,Water depth (echo-sounder),Draft at ship bow,Draft at ship stern,Under keel clearance fwd,Under keel clearance aft,Current speed,Current direction,True wind speed,True wind direction,Relative wind speed,Relative wind direction,Significant wave height,Wave direction,Longitudinal speed through the water,Transverse speed through the water,Longitudinal speed,Transverse speed,Transverse speed at ship's bow,Transverse speed at ship's stern,Drift angle,Surge,Surge speed,Sway,Sway speed,Heave,Heave speed,Yaw angle,Yaw rate,Roll angle,Roll rate,Pitch angle,Pitch rate,Height above the water
,meters,meters,degrees,,degrees,degrees_per_minute,,,,,,,degrees,degrees,degrees,degrees,,percent_tenths,,percent_tenths,meters,meters,meters,meters,meters,meters,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,degrees,meters,degrees,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,degrees,meters,meters_per_second,meters,meters_per_second,meters,meters_per_second,degrees,degrees_per_minute,degrees,degrees_per_minute,degrees,degrees_per_minute,meters
00:00:00,"318.01","-5,110.24","239.00",Off,"239.00","0.0","70.000000","60.000000","105.000000","106.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","3.00","0.00","0.00","0.00","0.00","0.00","0.31","180.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.34","7.93","8.09","-0.61","-0.61","-0.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","359.94","-43.5","359.98","-0.0","-0.18"
00:00:01,"312.35","-5,114.17","239.01",On,"239.00","0.7","70.000000","60.000000","105.000000","106.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","12.00","20.50","6.85","6.79","13.65","13.71","0.31","180.00","15.43","330.00","16.83","62.30","0.30","0.00","-0.28","7.93","8.09","-0.54","-0.53","-0.56","3.76","1.72","0.00","-0.11","0.07","0.01","0.03","0.00","0.2","359.34","-39.9","359.98","0.6","-0.16"
00:00:02,"305.70","-5,118.81","239.02",On,"239.00","1.4","70.000000","60.000000","106.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","20.00","20.50","6.81","6.78","13.69","13.72","0.31","180.00","15.43","330.00","16.80","62.20","0.30","0.00","-0.31","7.93","8.09","-0.58","-0.55","-0.61","3.99","4.57","-0.00","-0.31","0.03","0.02","0.04","0.01","0.6","358.76","-30.8","359.99","0.9","-0.13"
00:00:03,"299.08","-5,123.49","239.05",On,"239.00","2.0","70.000000","60.000000","108.000000","105.000000","95.000000","95.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","28.00","20.50","6.74","6.75","13.76","13.75","0.31","180.00","15.43","330.00","16.77","62.20","0.30","0.00","-0.35","7.92","8.08","-0.62","-0.57","-0.67","4.26","5.62","-0.00","-0.40","-0.00","0.04","0.03","0.04","0.8","358.33","-21.0","0.01","0.6","-0.09"
00:00:04,"292.48","-5,128.18","239.09",On,"239.00","2.6","70.000000","60.000000","108.000000","105.000000","95.000000","95.000000","0.00","0.00","359.00","359.00","0.000000","0.0","0.000000","0.0","36.00","20.50","6.71","6.75","13.79","13.75","0.31","180.00","15.43","330.00","16.74","62.10","0.30","0.00","-0.38","7.92","8.08","-0.65","-0.59","-0.72","4.51","6.00","-0.01","-0.45","-0.03","0.03","-0.01","0.07","0.9","358.05","-12.2","0.01","0.1","-0.07"
00:00:05,"285.89","-5,132.90","239.14",On,"239.00","3.1","70.000000","60.000000","109.000000","105.000000","95.000000","95.000000","0.00","0.00","359.00","359.00","0.000000","0.0","0.000000","0.0","44.00","20.50","6.70","6.73","13.80","13.77","0.31","180.00","15.43","330.00","16.72","62.00","0.30","0.00","-0.41","7.92","8.08","-0.67","-0.60","-0.75","4.71","6.14","-0.01","-0.49","-0.04","0.03","-0.01","0.11","0.9","357.91","-5.6","0.01","-0.4","-0.07"
00:00:06,"279.31","-5,137.62","239.19",On,"239.00","3.6","70.000000","60.000000","110.000000","105.000000","95.000000","95.000000","0.00","0.00","359.00","359.00","0.000000","0.0","0.000000","0.0","52.00","20.50","6.72","6.73","13.78","13.77","0.31","180.00","15.43","330.00","16.71","62.00","0.30","0.00","-0.43","7.92","8.07","-0.69","-0.61","-0.78","4.85","6.19","-0.01","-0.51","-0.05","0.02","-0.03","0.15","0.9","357.85","-1.1","0.00","-0.5","-0.08"
00:00:07,"272.73","-5,142.35","239.26",On,"239.00","3.9","70.000000","60.000000","110.000000","105.000000","95.000000","95.000000","0.00","0.00","359.00","359.00","0.000000","0.0","0.000000","0.0","60.00","20.50","6.75","6.74","13.75","13.76","0.31","180.00","15.43","330.00","16.70","61.90","0.30","0.00","-0.44","7.92","8.07","-0.70","-0.61","-0.80","4.94","6.21","-0.01","-0.53","-0.04","0.01","-0.03","0.20","0.8","357.85","1.5","0.00","-0.3","-0.09"
00:00:08,"266.15","-5,147.08","239.32",On,"239.00","4.1","70.000000","60.000000","110.000000","105.000000","95.000000","95.000000","0.00","0.00","359.00","359.00","0.000000","0.0","0.000000","0.0","68.00","20.50","6.74","6.72","13.76","13.78","0.31","180.00","15.43","330.00","16.70","61.80","0.30","0.00","-0.44","7.92","8.07","-0.71","-0.61","-0.81","5.00","6.22","-0.01","-0.54","-0.03","0.02","0.02","0.26","0.7","357.89","3.0","359.99","-0.0","-0.07"
00:00:09,"259.56","-5,151.81","239.39",On,"239.00","4.2","70.000000","60.000000","110.000000","105.000000","95.000000","95.000000","0.00","0.00","358.00","358.00","0.000000","0.0","0.000000","0.0","76.00","20.50","6.72","6.70","13.78","13.80","0.31","180.00","15.43","330.00","16.71","61.80","0.30","0.00","-0.44","7.92","8.07","-0.71","-0.61","-0.82","5.02","6.22","-0.00","-0.55","-0.02","0.03","-0.01","0.31","0.5","357.93","2.6","359.99","0.2","-0.06"
00:00:10,"252.97","-5,156.52","239.46",On,"239.00","4.2","70.000000","60.000000","110.000000","105.000000","95.000000","95.000000","0.00","0.00","358.00","358.00","0.000000","0.0","0.000000","0.0","84.00","20.50","6.71","6.71","13.79","13.79","0.31","180.00","15.43","330.00","16.72","61.70","0.30","0.00","-0.44","7.91","8.07","-0.71","-0.61","-0.82","5.02","6.22","-0.00","-0.55","-0.01","0.02","-0.01","0.36","0.3","357.97","2.1","0.00","0.3","-0.06"
