OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_1
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,ALPHA Local position X,ALPHA Local position Y,ALPHA Ship state,ALPHA Heading,ALPHA Latitude,ALPHA Longitude,BRAVO Local position X,BRAVO Local position Y,BRAVO Ship state,BRAVO Heading,BRAVO Latitude,BRAVO Longitude,CHARLIE Local position X,CHARLIE Local position Y,CHARLIE Ship state,CHARLIE Heading,CHARLIE Latitude,CHARLIE Longitude
,meters,meters,,degrees,,,meters,meters,,degrees,,,meters,meters,,degrees,,
00:00:00,"3,755.20","-7,039.42",Running,"252.00","57.659923","11.769122","318.01","-5,110.24",Running,"239.00","57.677312","11.711193","-1,739.75","-11,850.23",Running,"25.00","57.616524","11.676512"
00:00:01,"3,748.99","-7,041.95",Running,"252.01","57.659900","11.769018","312.35","-5,114.17",Running,"239.01","57.677277","11.711098","-1,736.72","-11,844.57",Running,"25.00","57.616575","11.676563"
00:00:02,"3,741.70","-7,044.95",Running,"252.03","57.659873","11.768895","305.70","-5,118.81",Running,"239.02","57.677235","11.710986","-1,733.12","-11,837.92",Running,"25.00","57.616635","11.676624"
00:00:03,"3,734.44","-7,047.97",Running,"252.08","57.659846","11.768772","299.08","-5,123.49",Running,"239.05","57.677193","11.710874","-1,729.47","-11,831.29",Running,"25.00","57.616695","11.676685"
00:00:04,"3,727.22","-7,051.02",Running,"252.13","57.659819","11.768651","292.48","-5,128.18",Running,"239.09","57.677150","11.710763","-1,725.80","-11,824.67",Running,"25.00","57.616755","11.676747"
00:00:05,"3,720.04","-7,054.08",Running,"252.21","57.659791","11.768530","285.89","-5,132.90",Running,"239.14","57.677108","11.710652","-1,722.10","-11,818.07",Running,"24.99","57.616814","11.676810"
00:00:06,"3,712.91","-7,057.14",Running,"252.30","57.659763","11.768409","279.31","-5,137.62",Running,"239.19","57.677065","11.710541","-1,718.39","-11,811.48",Running,"24.98","57.616874","11.676872"
00:00:07,"3,705.81","-7,060.20",Running,"252.40","57.659736","11.768290","272.73","-5,142.35",Running,"239.26","57.677023","11.710430","-1,714.66","-11,804.89",Running,"24.96","57.616933","11.676935"
00:00:08,"3,698.75","-7,063.25",Running,"252.51","57.659708","11.768171","266.15","-5,147.08",Running,"239.32","57.676980","11.710319","-1,710.93","-11,798.30",Running,"24.94","57.616993","11.676998"
00:00:09,"3,691.73","-7,066.28",Running,"252.63","57.659681","11.768053","259.56","-5,151.81",Running,"239.39","57.676937","11.710208","-1,707.20","-11,791.70",Running,"24.92","57.617052","11.677061"
00:00:10,"3,684.73","-7,069.29",Running,"252.76","57.659654","11.767935","252.97","-5,156.52",Running,"239.46","57.676895","11.710097","-1,703.47","-11,785.09",Running,"24.90","57.617112","11.677124"
00:00:11,"3,677.77","-7,072.27",Running,"252.89","57.659627","11.767817","246.38","-5,161.23",Running,"239.53","57.676852","11.709986","-1,699.74","-11,778.46",Running,"24.88","57.617172","11.677186"
00:00:12,"3,670.84","-7,075.22",Running,"253.01","57.659600","11.767700","239.77","-5,165.93",Running,"239.60","57.676810","11.709874","-1,696.01","-11,771.83",Running,"24.86","57.617232","11.677249"
00:00:13,"3,663.94","-7,078.14",Running,"253.12","57.659574","11.767584","233.17","-5,170.61",Running,"239.67","57.676768","11.709763","-1,692.29","-11,765.17",Running,"24.84","57.617292","11.677312"
00:00:14,"3,657.06","-7,081.03",Running,"253.22","57.659548","11.767468","226.56","-5,175.29",Running,"239.73","57.676726","11.709652","-1,688.57","-11,758.52",Running,"24.83","57.617352","11.677375"
00:00:15,"3,650.22","-7,083.90",Running,"253.32","57.659522","11.767353","219.95","-5,179.96",Running,"239.79","57.676684","11.709540","-1,684.83","-11,751.84",Running,"24.81","57.617412","11.677438"
00:00:16,"3,643.40","-7,086.76",Running,"253.41","57.659496","11.767238","213.32","-5,184.62",Running,"239.85","57.676642","11.709429","-1,681.08","-11,745.15",Running,"24.80","57.617472","11.677501"
00:00:17,"3,636.62","-7,089.59",Running,"253.52","57.659471","11.767124","206.70","-5,189.28",Running,"239.91","57.676600","11.709317","-1,677.33","-11,738.45",Running,"24.78","57.617533","11.677564"
00:00:18,"3,629.86","-7,092.42",Running,"253.64","57.659445","11.767010","200.08","-5,193.92",Running,"239.97","57.676558","11.709205","-1,673.58","-11,731.74",Running,"24.77","57.617594","11.677627"
