OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_1
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,ALPHA Local position X,ALPHA Local position Y,ALPHA Ship state,ALPHA Heading,ALPHA Latitude,ALPHA Longitude,BRAVO Local position X,BRAVO Local position Y,BRAVO Ship state,BRAVO Heading,BRAVO Latitude,BRAVO Longitude
,meters,meters,,degrees,,,meters,meters,,degrees,,
00:00:00,"-2,616.51","-8,999.84",Running,"76.00","57.642244","11.661735","-1,069.35","-6,551.04",Running,"171.00","57.664326","11.687811"
00:00:01,"-2,609.89","-8,998.64",Running,"76.00","57.642255","11.661847","-1,068.56","-6,555.83",Running,"171.00","57.664283","11.687824"
00:00:02,"-2,602.09","-8,997.25",Running,"75.98","57.642267","11.661978","-1,067.62","-6,561.46",Running,"171.02","57.664232","11.687840"
00:00:03,"-2,594.31","-8,995.89",Running,"75.96","57.642280","11.662110","-1,066.67","-6,567.09",Running,"171.04","57.664181","11.687856"
00:00:04,"-2,586.54","-8,994.57",Running,"75.93","57.642292","11.662241","-1,065.72","-6,572.70",Running,"171.06","57.664131","11.687872"
00:00:05,"-2,578.80","-8,993.27",Running,"75.89","57.642303","11.662371","-1,064.76","-6,578.28",Running,"171.10","57.664080","11.687888"
00:00:06,"-2,571.08","-8,991.99",Running,"75.84","57.642315","11.662501","-1,063.81","-6,583.84",Running,"171.14","57.664030","11.687904"
00:00:07,"-2,563.41","-8,990.73",Running,"75.79","57.642326","11.662630","-1,062.86","-6,589.37",Running,"171.18","57.663980","11.687920"
00:00:08,"-2,555.78","-8,989.48",Running,"75.74","57.642338","11.662759","-1,061.91","-6,594.85",Running,"171.23","57.663931","11.687936"
00:00:09,"-2,548.21","-8,988.24",Running,"75.69","57.642349","11.662887","-1,060.98","-6,600.30",Running,"171.28","57.663882","11.687952"
