OS: ASD tug 1 (bp 53t)
Trainee: 
Exercise name: PrepareShips_Scenario_2
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.93.3592.0 / 2.31.2.0

time,Local position X,Local position Y,Heading,Wind effect. Longitudinal force,Wind effect. Lateral force,Wind effect. Pitching moment,Hydrodynamics. Longitudinal force,Hydrodynamics. Lateral force,Hydrodynamics. Pitching moment,Wave effect. Longitudinal force,Wave effect. Lateral force,Wave effect. Pitching moment,Ship-Bank interaction. Longitudinal force,Ship-Bank interaction. Lateral force,Ship-Bank interaction. Pitching moment,Fender. Longitudinal force,Fender. Lateral force,Fender. Pitching moment,Total force from all the mooring lines. Longitudinal force,Total force from all the mooring lines. Lateral force,Total force from all the mooring lines. Pitching moment,Port anchor. Longitudinal force,Port anchor. Lateral force,Port anchor. Pitching moment,Starboard anchor. Longitudinal force,Starboard anchor. Lateral force,Starboard anchor. Pitching moment,Ship-Ship interaction. Longitudinal force,Ship-Ship interaction. Lateral force,Ship-Ship interaction. Pitching moment,Propeller. Longitudal force,Propeller. Lateral force,Propeller. Pitching moment,Bow thruster. Longitudinal force,Bow thruster. Lateral force,Bow thruster. Pitching moment,Stern thruster. Longitudinal force,Stern thruster. Lateral force,Stern thruster. Pitching moment,Rudders (all). Longitudal force,Rudders (all). Lateral force,Rudders (all). Pitching moment
,meters,meters,degrees,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m
00:00:00,"10,869.01","-4,163.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:01,"10,868.64","-4,163.21","0.00","0.46","0.49","-1.22","-0.09","-0.07","-0.53","-0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.03","-0.04","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:02,"10,868.23","-4,163.07","359.95","0.46","0.49","-1.22","-0.09","-0.10","-0.68","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.03","-0.06","0.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:03,"10,867.93","-4,162.92","359.79","0.46","0.48","-1.20","-0.11","-0.34","-3.35","0.01","-0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.04","-0.17","1.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:04,"10,867.70","-4,162.76","359.47","0.46","0.48","-1.20","-0.12","-0.46","-3.72","-0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.05","-0.25","1.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:05,"10,867.43","-4,162.60","359.05","0.46","0.50","-1.22","-0.11","-0.36","-1.97","0.01","-0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.04","-0.21","1.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:06,"10,867.09","-4,162.45","358.60","0.46","0.52","-1.24","-0.10","-0.24","-0.33","-0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.04","-0.15","1.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:07,"10,866.73","-4,162.29","358.14","0.46","0.53","-1.25","-0.10","-0.23","-0.18","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.04","-0.15","1.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:08,"10,866.41","-4,162.13","357.65","0.45","0.53","-1.26","-0.11","-0.30","-0.84","-0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.04","-0.19","1.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:09,"10,866.11","-4,161.96","357.11","0.45","0.54","-1.27","-0.11","-0.35","-1.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.05","-0.22","1.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:10,"10,865.80","-4,161.80","356.53","0.45","0.56","-1.29","-0.11","-0.33","-0.88","-0.00","-0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.04","-0.21","1.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:11,"10,865.47","-4,161.63","355.94","0.45","0.58","-1.31","-0.11","-0.29","-0.21","-0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.04","-0.19","1.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:12,"10,865.11","-4,161.47","355.34","0.45","0.59","-1.32","-0.11","-0.28","-0.05","0.01","-0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.04","-0.18","1.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
