OS: ASD tug 1 (bp 53t)
Trainee: 
Exercise name: PrepareShips_Scenario_2
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.93.3592.0 / 2.31.2.0

time,Local position X,Local position Y,Heading,Autopilot state,Autopilot course,Rate of turn,Port telegraph order,Starboard telegraph order,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Port rudder order,Starboard rudder order,Port rudder angle,Starboard rudder angle,Bow thruster power order,Bow thruster gained power,Stern thruster power order,Stern thruster gained power,Distance made Good,Water depth (echo-sounder),Draft at ship bow,Draft at ship stern,Under keel clearance fwd,Under keel clearance aft,Current speed,Current direction,True wind speed,True wind direction,Relative wind speed,Relative wind direction,Significant wave height,Wave direction,Longitudinal speed through the water,Transverse speed through the water,Longitudinal speed,Transverse speed,Transverse speed at ship's bow,Transverse speed at ship's stern,Drift angle,Surge,Surge speed,Sway,Sway speed,Heave,Heave speed,Yaw angle,Yaw rate,Roll angle,Roll rate,Pitch angle,Pitch rate,Height above the water
,meters,meters,degrees,,degrees,degrees_per_minute,,,,,,,degrees,degrees,degrees,degrees,,percent_tenths,,percent_tenths,meters,meters,meters,meters,meters,meters,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,degrees,meters,degrees,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,meters_per_second,degrees,meters,meters_per_second,meters,meters_per_second,meters,meters_per_second,degrees,degrees_per_minute,degrees,degrees_per_minute,degrees,degrees_per_minute,meters
00:00:00,"10,869.01","-4,163.34","0.00",Off,"0.00","0.0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","0.00","0.00","0.00","0.00","0.00","0.00","0.51","250.00","0.00","0.00","0.00","0.00","0.00","0.00","0.16","0.32","0.14","-0.31","-0.31","-0.31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","358.16","37.7","2.90","0.0","-0.04"
00:00:01,"10,868.64","-4,163.21","0.00",Off,"0.00","-6.8","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","0.00","7.40","2.77","3.94","4.81","3.28","0.51","250.00","15.43","200.00","15.45","201.60","0.30","0.00","0.04","0.32","0.14","-0.44","-0.47","-0.42","71.40","0.03","-0.00","-0.10","-0.10","0.00","0.01","0.00","-3.3","359.57","118.7","2.87","-3.7","-0.03"
00:00:02,"10,868.23","-4,163.07","359.95",Off,"359.90","-8.3","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","0.00","7.39","2.74","3.88","4.84","3.33","0.51","250.00","15.43","200.00","15.44","201.60","0.30","0.00","0.11","0.32","0.15","-0.36","-0.40","-0.33","70.57","0.08","0.01","-0.25","-0.07","0.02","0.08","359.98","-4.0","1.17","56.2","2.83","-0.6","0.04"
00:00:03,"10,867.93","-4,162.92","359.79",Off,"359.70","-12.3","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","1.00","7.39","2.73","3.87","4.85","3.33","0.51","250.00","15.43","200.00","15.39","201.30","0.30","0.00","0.24","0.33","0.16","-0.24","-0.29","-0.20","62.18","0.10","0.00","-0.26","0.05","-0.01","-0.11","359.89","-3.9","1.15","-50.2","2.84","2.1","-0.03"
00:00:04,"10,867.70","-4,162.76","359.47",Off,"359.40","-19.7","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","1.00","7.39","2.77","3.93","4.80","3.27","0.51","250.00","15.43","200.00","15.36","201.30","0.30","0.00","0.25","0.33","0.16","-0.24","-0.31","-0.16","54.21","0.11","0.01","-0.21","0.10","-0.03","0.04","359.65","-6.7","0.01","-62.7","2.87","0.3","-0.01"
00:00:05,"10,867.43","-4,162.60","359.05",Off,"359.00","-26.3","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","1.00","7.39","2.71","3.87","4.86","3.33","0.51","250.00","15.43","200.00","15.38","201.90","0.30","0.00","0.17","0.33","0.16","-0.31","-0.40","-0.21","59.59","0.12","0.01","-0.20","0.04","0.02","-0.02","359.30","-9.2","359.42","-3.6","2.85","-1.4","0.00"
00:00:06,"10,867.09","-4,162.45","358.60",Off,"358.60","-29.4","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","2.00","7.38","2.77","3.91","4.81","3.28","0.51","250.00","15.43","200.00","15.41","202.60","0.30","0.00","0.12","0.33","0.17","-0.36","-0.47","-0.26","64.61","0.12","0.01","-0.23","-0.04","-0.02","-0.03","358.91","-8.9","359.83","46.1","2.84","0.4","-0.03"
00:00:07,"10,866.73","-4,162.29","358.14",Off,"358.10","-29.8","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","2.00","7.38","2.73","3.88","4.84","3.31","0.51","250.00","15.43","200.00","15.41","203.10","0.30","0.00","0.14","0.33","0.17","-0.34","-0.45","-0.23","64.52","0.13","0.01","-0.26","-0.04","0.01","0.07","358.52","-6.2","0.46","27.0","2.86","0.5","0.02"
00:00:08,"10,866.41","-4,162.13","357.65",Off,"357.60","-29.9","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.00","0.00","0.00","0.00","0.000000","0.0","0.000000","0.0","2.00","7.38","2.75","3.90","4.82","3.29","0.51","250.00","15.43","200.00","15.40","203.50","0.30","0.00","0.19","0.33","0.17","-0.30","-0.41","-0.19","61.35","0.13","0.01","-0.26","0.00","-0.02","-0.02","358.14","-3.9","0.57","-14.2","2.86","-0.7","-0.01"
