OS: ASD tug 1 (bp 53t)
Trainee: 
Exercise name: PrepareShips_Scenario_2
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.93.3592.0 / 2.31.2.0

time,Latitude,Longitude,COG,SOG,Heading,Log,Set,Drift,Transverse speed at ship's bow,Transverse speed at ship's stern,Port rudder angle,Rate of turn,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Bow thruster gained power,Stern thruster gained power
,,,degrees,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,meters_per_second,meters_per_second,degrees,degrees_per_minute,,,,,percent_tenths,percent_tenths
00:00:00,"57.685844","11.889016","294.50","0.35","0.00","0.32","241.02","0.36","-0.31","-0.31","0.00","0.0","0.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:01,"57.685845","11.889010","287.95","0.46","0.00","0.32","248.43","0.47","-0.47","-0.42","0.00","-6.8","0.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:02,"57.685846","11.889003","292.28","0.39","359.95","0.32","244.50","0.40","-0.40","-0.33","0.00","-8.3","0.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:03,"57.685848","11.888998","302.37","0.29","359.79","0.33","234.64","0.30","-0.29","-0.20","0.00","-12.3","0.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:04,"57.685849","11.888994","303.30","0.28","359.47","0.33","233.73","0.29","-0.31","-0.16","0.00","-19.7","0.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:05,"57.685850","11.888990","296.64","0.35","359.05","0.33","240.66","0.35","-0.40","-0.21","0.00","-26.3","0.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:06,"57.685852","11.888984","293.22","0.40","358.60","0.33","244.62","0.40","-0.47","-0.26","0.00","-29.4","0.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:07,"57.685853","11.888978","294.77","0.38","358.14","0.33","243.33","0.38","-0.45","-0.23","0.00","-29.8","0.000000","0.000000","0.000000","0.000000","0.0","0.0"
00:00:08,"57.685855","11.888972","298.18","0.34","357.65","0.33","240.16","0.33","-0.41","-0.19","0.00","-29.9","0.000000","0.000000","0.000000","0.000000","0.0","0.0"
