OS: ASD tug 1 (bp 53t)
Trainee: 
Exercise name: PrepareShips_Scenario_2
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.93.3592.0 / 2.31.2.0

time,ALPHA Local position X,ALPHA Local position Y,ALPHA Ship state,ALPHA Heading,ALPHA Latitude,ALPHA Longitude,VTS SEGOT Local position X,VTS SEGOT Local position Y,VTS SEGOT Ship state,VTS SEGOT Heading,VTS SEGOT Latitude,VTS SEGOT Longitude,BRAVO Local position X,BRAVO Local position Y,BRAVO Ship state,BRAVO Heading,BRAVO Latitude,BRAVO Longitude,CHARLIE Local position X,CHARLIE Local position Y,CHARLIE Ship state,CHARLIE Heading,CHARLIE Latitude,CHARLIE Longitude
,meters,meters,,degrees,,,meters,meters,,degrees,,,meters,meters,,degrees,,,meters,meters,,degrees,,
00:00:00,"9,580.07","-3,663.22",Running,"18.00","57.690349","11.867293","10,869.01","-4,163.34",Running,"0.00","57.685844","11.889016","4,639.10","-6,253.42",Running,"45.00","57.667009","11.784019","2,356.73","-5,220.51",Running,"84.00","57.676318","11.745553"
00:00:01,"9,580.12","-3,663.10",Running,"18.00","57.690350","11.867294","10,868.64","-4,163.21",Running,"0.00","57.685845","11.889010","4,643.40","-6,248.77",Running,"45.01","57.667051","11.784092","2,363.06","-5,219.79",Running,"84.01","57.676325","11.745660"
00:00:02,"9,580.17","-3,662.96",Running,"17.99","57.690352","11.867294","10,868.23","-4,163.07",Running,"359.95","57.685846","11.889003","4,648.45","-6,243.29",Running,"45.03","57.667100","11.784177","2,370.52","-5,218.93",Running,"84.02","57.676332","11.745785"
00:00:03,"9,580.22","-3,662.82",Running,"17.98","57.690353","11.867295","10,867.93","-4,162.92",Running,"359.79","57.685848","11.888998","4,653.45","-6,237.81",Running,"45.08","57.667149","11.784261","2,377.94","-5,218.05",Running,"84.05","57.676340","11.745910"
00:00:04,"9,580.26","-3,662.66",Running,"17.94","57.690354","11.867296","10,867.70","-4,162.76",Running,"359.47","57.685849","11.888994","4,658.44","-6,232.34",Running,"45.16","57.667199","11.784345","2,385.35","-5,217.16",Running,"84.09","57.676348","11.746035"
00:00:05,"9,580.30","-3,662.50",Running,"17.89","57.690356","11.867297","10,867.43","-4,162.60",Running,"359.05","57.685850","11.888990","4,663.40","-6,226.88",Running,"45.26","57.667248","11.784429","2,392.72","-5,216.24",Running,"84.14","57.676357","11.746159"
00:00:06,"9,580.33","-3,662.32",Running,"17.81","57.690357","11.867297","10,867.09","-4,162.45",Running,"358.60","57.685852","11.888984","4,668.32","-6,221.45",Running,"45.40","57.667297","11.784512","2,400.05","-5,215.32",Running,"84.20","57.676365","11.746283"
00:00:07,"9,580.36","-3,662.14",Running,"17.69","57.690359","11.867298","10,866.73","-4,162.29",Running,"358.14","57.685853","11.888978","4,673.22","-6,216.04",Running,"45.56","57.667346","11.784594","2,407.34","-5,214.39",Running,"84.26","57.676373","11.746406"
00:00:08,"9,580.38","-3,661.96",Running,"17.55","57.690361","11.867298","10,866.41","-4,162.13",Running,"357.65","57.685855","11.888972","4,678.10","-6,210.67",Running,"45.75","57.667394","11.784676","2,414.58","-5,213.47",Running,"84.34","57.676382","11.746528"
00:00:09,"9,580.39","-3,661.77",Running,"17.37","57.690362","11.867298","10,866.11","-4,161.96",Running,"357.11","57.685856","11.888967","4,682.94","-6,205.34",Running,"45.95","57.667442","11.784758","2,421.78","-5,212.55",Running,"84.42","57.676390","11.746649"
