OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_2
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Latitude,Longitude,COG,SOG,Heading,Log,Set,Drift,Transverse speed at ship's bow,Transverse speed at ship's stern,Port rudder angle,Rate of turn,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Bow thruster gained power,Stern thruster gained power
,,,degrees,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,meters_per_second,meters_per_second,degrees,degrees_per_minute,,,,,percent_tenths,percent_tenths
00:00:00,"57.669947","11.790886","42.72","7.42","45.00","7.88","257.56","0.55","-0.30","-0.30","0.00","0.0","105.000000","105.000000","95.000000","95.000000","0.0","0.0"
00:00:01,"57.669988","11.790958","42.86","7.43","45.00","7.88","255.96","0.54","-0.26","-0.29","0.00","0.5","105.000000","105.000000","95.000000","89.000000","0.0","0.0"
00:00:02,"57.670038","11.791044","42.85","7.42","45.02","7.88","256.34","0.54","-0.26","-0.31","0.00","1.1","105.000000","104.000000","95.000000","83.000000","0.0","0.0"
00:00:03,"57.670087","11.791128","42.80","7.41","45.04","7.86","257.11","0.55","-0.25","-0.33","0.00","1.5","105.000000","103.000000","95.000000","80.000000","0.0","0.0"
00:00:04,"57.670135","11.791213","42.75","7.39","45.07","7.84","257.91","0.55","-0.25","-0.35","0.00","1.9","105.000000","103.000000","95.000000","79.000000","0.0","0.0"
00:00:05,"57.670184","11.791297","42.71","7.37","45.10","7.83","258.66","0.56","-0.25","-0.36","359.00","2.2","105.000000","103.000000","95.000000","78.000000","0.0","0.0"
00:00:06,"57.670233","11.791382","42.70","7.36","45.14","7.81","259.23","0.56","-0.26","-0.37","359.00","2.4","105.000000","103.000000","95.000000","78.000000","0.0","0.0"
00:00:07,"57.670282","11.791466","42.69","7.34","45.18","7.80","259.75","0.56","-0.26","-0.39","359.00","2.6","105.000000","103.000000","95.000000","78.000000","0.0","0.0"
00:00:08,"57.670330","11.791549","42.71","7.34","45.22","7.79","260.01","0.56","-0.26","-0.39","359.00","2.7","105.000000","103.000000","95.000000","78.000000","0.0","0.0"
00:00:09,"57.670379","11.791633","42.74","7.33","45.27","7.78","260.20","0.57","-0.26","-0.40","359.00","2.8","105.000000","103.000000","95.000000","78.000000","0.0","0.0"
00:00:10,"57.670427","11.791717","42.77","7.31","45.32","7.77","260.34","0.57","-0.26","-0.40","359.00","2.9","105.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:11,"57.670476","11.791801","42.81","7.30","45.37","7.76","260.42","0.57","-0.26","-0.40","359.00","2.9","105.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:12,"57.670524","11.791884","42.85","7.29","45.41","7.74","260.47","0.57","-0.26","-0.40","359.00","2.9","105.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:13,"57.670572","11.791968","42.90","7.27","45.46","7.73","260.51","0.57","-0.26","-0.40","358.00","2.9","105.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:14,"57.670620","11.792051","42.94","7.26","45.51","7.72","260.54","0.57","-0.26","-0.40","358.00","2.8","105.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:15,"57.670668","11.792134","42.98","7.25","45.56","7.71","260.58","0.57","-0.26","-0.40","358.00","2.8","105.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:16,"57.670716","11.792218","43.03","7.24","45.60","7.70","260.62","0.57","-0.26","-0.40","358.00","2.8","104.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:17,"57.670763","11.792301","43.07","7.23","45.65","7.69","260.65","0.57","-0.26","-0.39","358.00","2.7","104.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:18,"57.670811","11.792384","43.11","7.22","45.69","7.68","260.68","0.57","-0.26","-0.39","358.00","2.7","104.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:19,"57.670858","11.792467","43.15","7.21","45.74","7.67","260.70","0.57","-0.26","-0.39","358.00","2.7","104.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:20,"57.670906","11.792550","43.20","7.20","45.78","7.66","260.72","0.57","-0.26","-0.39","358.00","2.6","104.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:21,"57.670953","11.792633","43.24","7.19","45.83","7.64","260.72","0.57","-0.26","-0.39","358.00","2.6","104.000000","102.000000","95.000000","78.000000","0.0","0.0"
00:00:22,"57.671000","11.792716","43.28","7.18","45.87","7.63","260.71","0.57","-0.26","-0.39","358.00","2.5","104.000000","102.000000","92.000000","77.000000","0.0","0.0"
00:00:23,"57.671047","11.792799","43.32","7.16","45.91","7.62","260.71","0.57","-0.26","-0.39","358.00","2.5","104.000000","102.000000","86.000000","71.000000","0.0","0.0"
00:00:24,"57.671094","11.792882","43.36","7.14","45.95","7.60","260.72","0.57","-0.26","-0.39","358.00","2.5","103.000000","102.000000","79.000000","64.000000","0.0","0.0"
00:00:25,"57.671141","11.792964","43.39","7.12","45.99","7.58","260.76","0.57","-0.26","-0.39","358.00","2.5","103.000000","102.000000","72.000000","57.000000","0.0","0.0"
00:00:26,"57.671187","11.793047","43.42","7.09","46.03","7.54","260.78","0.57","-0.26","-0.39","358.00","2.5","102.000000","102.000000","65.000000","50.000000","0.0","0.0"
00:00:27,"57.671233","11.793129","43.45","7.05","46.08","7.51","260.81","0.57","-0.26","-0.39","358.00","2.5","103.000000","102.000000","59.000000","44.000000","0.0","0.0"
00:00:28,"57.671279","11.793210","43.47","7.01","46.12","7.46","260.83","0.57","-0.26","-0.39","358.00","2.5","103.000000","103.000000","52.000000","37.000000","0.0","0.0"
00:00:29,"57.671325","11.793291","43.50","6.95","46.16","7.41","260.84","0.57","-0.26","-0.39","358.00","2.6","103.000000","103.000000","47.000000","31.000000","0.0","0.0"
00:00:30,"57.671370","11.793371","43.52","6.90","46.20","7.36","260.86","0.57","-0.26","-0.39","357.00","2.6","103.000000","103.000000","45.000000","28.000000","0.0","0.0"
00:00:31,"57.671415","11.793451","43.55","6.84","46.25","7.30","260.87","0.57","-0.26","-0.39","357.00","2.6","103.000000","103.000000","44.000000","27.000000","0.0","0.0"
00:00:32,"57.671460","11.793530","43.57","6.79","46.29","7.25","260.89","0.57","-0.26","-0.39","357.00","2.7","103.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:33,"57.671504","11.793609","43.59","6.73","46.34","7.19","260.92","0.57","-0.26","-0.39","357.00","2.7","103.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:34,"57.671547","11.793687","43.62","6.68","46.38","7.14","260.93","0.57","-0.26","-0.39","357.00","2.7","103.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:35,"57.671591","11.793764","43.64","6.63","46.42","7.09","260.98","0.57","-0.26","-0.39","357.00","2.7","103.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:36,"57.671634","11.793841","43.66","6.58","46.47","7.04","261.02","0.57","-0.26","-0.39","357.00","2.7","103.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:37,"57.671677","11.793917","43.69","6.53","46.51","6.99","261.05","0.57","-0.26","-0.39","357.00","2.6","103.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:38,"57.671719","11.793993","43.71","6.48","46.56","6.94","261.08","0.57","-0.26","-0.39","357.00","2.6","103.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:39,"57.671761","11.794068","43.73","6.44","46.60","6.90","261.11","0.57","-0.26","-0.39","357.00","2.6","103.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:40,"57.671803","11.794143","43.76","6.39","46.64","6.85","261.14","0.57","-0.26","-0.39","357.00","2.6","103.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:41,"57.671844","11.794217","43.78","6.34","46.69","6.80","261.17","0.57","-0.26","-0.39","357.00","2.6","103.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:42,"57.671885","11.794291","43.81","6.30","46.73","6.76","261.20","0.57","-0.26","-0.39","356.00","2.6","102.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:43,"57.671926","11.794364","43.83","6.26","46.77","6.72","261.22","0.57","-0.26","-0.39","356.00","2.6","102.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:44,"57.671967","11.794437","43.85","6.21","46.82","6.68","261.25","0.57","-0.26","-0.39","356.00","2.6","102.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:45,"57.672007","11.794509","43.88","6.17","46.86","6.63","261.27","0.57","-0.26","-0.39","356.00","2.6","102.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:46,"57.672047","11.794581","43.90","6.13","46.90","6.59","261.29","0.57","-0.26","-0.39","356.00","2.5","102.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:47,"57.672087","11.794653","43.93","6.09","46.94","6.55","261.31","0.57","-0.26","-0.38","356.00","2.5","101.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:48,"57.672126","11.794724","43.95","6.05","46.99","6.51","261.32","0.57","-0.26","-0.38","356.00","2.5","101.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:49,"57.672165","11.794794","43.97","6.01","47.03","6.48","261.33","0.57","-0.26","-0.38","356.00","2.5","101.000000","104.000000","44.000000","27.000000","0.0","0.0"
00:00:50,"57.672204","11.794864","44.00","5.98","47.07","6.44","261.36","0.57","-0.26","-0.38","356.00","2.5","101.000000","103.000000","44.000000","27.000000","0.0","0.0"
00:00:51,"57.672243","11.794934","44.02","5.94","47.11","6.40","261.38","0.57","-0.26","-0.38","356.00","2.5","100.000000","103.000000","44.000000","27.000000","0.0","0.0"
00:00:52,"57.672281","11.795004","44.05","5.90","47.15","6.37","261.39","0.57","-0.26","-0.38","356.00","2.5","100.000000","103.000000","44.000000","27.000000","0.0","0.0"
00:00:53,"57.672319","11.795073","44.07","5.87","47.19","6.33","261.41","0.57","-0.26","-0.38","356.00","2.4","100.000000","103.000000","44.000000","27.000000","0.0","0.0"
00:00:54,"57.672357","11.795141","44.09","5.83","47.23","6.30","261.42","0.57","-0.26","-0.38","356.00","2.4","100.000000","103.000000","44.000000","27.000000","0.0","0.0"
00:00:55,"57.672395","11.795209","44.12","5.80","47.27","6.26","261.44","0.57","-0.26","-0.38","356.00","2.4","100.000000","103.000000","44.000000","27.000000","0.0","0.0"
