OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_2
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Local position X,Local position Y,Heading,Wind effect. Longitudinal force,Wind effect. Lateral force,Wind effect. Pitching moment,Hydrodynamics. Longitudinal force,Hydrodynamics. Lateral force,Hydrodynamics. Pitching moment,Wave effect. Longitudinal force,Wave effect. Lateral force,Wave effect. Pitching moment,Ship-Bank interaction. Longitudinal force,Ship-Bank interaction. Lateral force,Ship-Bank interaction. Pitching moment,Fender. Longitudinal force,Fender. Lateral force,Fender. Pitching moment,Total force from all the mooring lines. Longitudinal force,Total force from all the mooring lines. Lateral force,Total force from all the mooring lines. Pitching moment,Port anchor. Longitudinal force,Port anchor. Lateral force,Port anchor. Pitching moment,Starboard anchor. Longitudinal force,Starboard anchor. Lateral force,Starboard anchor. Pitching moment,Ship-Ship interaction. Longitudinal force,Ship-Ship interaction. Lateral force,Ship-Ship interaction. Pitching moment,Propeller. Longitudal force,Propeller. Lateral force,Propeller. Pitching moment,Bow thruster. Longitudinal force,Bow thruster. Lateral force,Bow thruster. Pitching moment,Stern thruster. Longitudinal force,Stern thruster. Lateral force,Stern thruster. Pitching moment,Rudders (all). Longitudal force,Rudders (all). Lateral force,Rudders (all). Pitching moment
,meters,meters,degrees,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m
00:00:00,"9,580.07","-3,663.22","18.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:01,"9,580.12","-3,663.10","18.00","11.56","2.39","-70.61","-0.08","-0.05","-0.26","-0.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.64","0.00","0.34","0.00","-2.96","-189.14","0.00","0.00","0.00","-0.00","0.00","-0.18"
00:00:02,"9,580.17","-3,662.96","17.99","11.56","2.45","-72.19","-0.08","-0.01","2.95","0.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.64","0.00","0.22","0.00","-9.25","-592.22","0.00","0.00","0.00","-0.00","0.01","-0.55"
00:00:03,"9,580.22","-3,662.82","17.98","11.55","2.47","-72.95","-0.08","-0.00","8.46","-0.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.75","0.00","0.39","0.00","-15.60","-998.16","0.00","0.00","0.00","-0.00","0.01","-1.04"
00:00:04,"9,580.26","-3,662.66","17.94","11.54","2.53","-74.72","-0.09","0.02","17.27","0.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.90","0.00","0.27","0.00","-21.94","-1,404.23","0.00","0.00","0.00","-0.00","0.02","-1.80"
00:00:05,"9,580.30","-3,662.50","17.89","11.52","2.63","-77.65","-0.10","0.06","30.72","-0.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2.04","0.00","0.01","0.00","-29.57","-1,892.68","0.00","0.00","0.00","-0.00","0.04","-2.98"
00:00:06,"9,580.33","-3,662.32","17.81","11.51","2.76","-81.35","-0.10","0.11","49.73","0.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2.62","0.00","3.35","0.00","-29.53","-1,889.94","0.00","0.00","0.00","-0.01","0.06","-4.73"
00:00:07,"9,580.36","-3,662.14","17.70","11.51","2.90","-85.48","-0.10","0.14","72.99","-0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3.80","0.00","11.90","0.00","-29.51","-1,888.62","0.00","0.00","0.00","-0.01","0.09","-7.06"
00:00:08,"9,580.39","-3,661.96","17.57","11.50","3.06","-90.27","-0.11","0.15","100.90","0.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-4.95","0.00","20.92","0.00","-29.50","-1,888.16","0.00","0.00","0.00","-0.01","0.13","-10.04"
00:00:09,"9,580.42","-3,661.78","17.41","11.50","3.25","-95.88","-0.11","0.16","133.49","-0.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-6.78","0.00","34.13","0.00","-29.50","-1,887.85","0.00","0.00","0.00","-0.02","0.18","-13.86"
00:00:10,"9,580.44","-3,661.60","17.22","11.50","3.48","-102.48","-0.11","0.17","170.30","0.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-7.08","0.00","60.07","0.00","-29.49","-1,887.24","0.00","0.00","0.00","-0.03","0.52","-39.74"
00:00:11,"9,580.46","-3,661.41","17.02","11.49","3.73","-110.10","-0.11","0.20","214.60","-0.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-5.49","0.00","84.83","0.00","-29.47","-1,885.80","0.00","0.00","0.00","-0.04","1.80","-138.58"
00:00:12,"9,580.48","-3,661.22","16.78","11.48","4.03","-118.77","-0.12","0.24","266.19","0.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-4.58","0.00","98.19","0.00","-29.43","-1,883.80","0.00","0.00","0.00","-0.06","2.70","-207.64"
00:00:13,"9,580.50","-3,661.02","16.52","11.47","4.36","-128.56","-0.12","0.30","325.07","-0.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-4.34","0.00","102.03","0.00","-28.76","-1,840.67","0.00","0.00","0.00","-0.08","3.24","-249.56"
