OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_2
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Local position X,Local position Y,Heading,Wind effect. Longitudinal force,Wind effect. Lateral force,Wind effect. Pitching moment,Hydrodynamics. Longitudinal force,Hydrodynamics. Lateral force,Hydrodynamics. Pitching moment,Wave effect. Longitudinal force,Wave effect. Lateral force,Wave effect. Pitching moment,Ship-Bank interaction. Longitudinal force,Ship-Bank interaction. Lateral force,Ship-Bank interaction. Pitching moment,Fender. Longitudinal force,Fender. Lateral force,Fender. Pitching moment,Total force from all the mooring lines. Longitudinal force,Total force from all the mooring lines. Lateral force,Total force from all the mooring lines. Pitching moment,Port anchor. Longitudinal force,Port anchor. Lateral force,Port anchor. Pitching moment,Starboard anchor. Longitudinal force,Starboard anchor. Lateral force,Starboard anchor. Pitching moment,Ship-Ship interaction. Longitudinal force,Ship-Ship interaction. Lateral force,Ship-Ship interaction. Pitching moment,Propeller. Longitudal force,Propeller. Lateral force,Propeller. Pitching moment,Bow thruster. Longitudinal force,Bow thruster. Lateral force,Bow thruster. Pitching moment,Stern thruster. Longitudinal force,Stern thruster. Lateral force,Stern thruster. Pitching moment,Rudders (all). Longitudal force,Rudders (all). Lateral force,Rudders (all). Pitching moment
,meters,meters,degrees,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m,tonnes_f,tonnes_f,tonnes_m
00:00:00,"2,932.94","-5,158.60","84.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
00:00:01,"2,939.69","-5,157.31","84.01","-0.84","-47.33","-117.50","-70.12","28.26","258.28","-0.02","-0.00","-0.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","63.77","0.00","-19.17","0.00","0.00","0.00","0.00","0.00","0.00","-1.62","0.01","-1.03"
00:00:02,"2,947.60","-5,155.78","84.02","-0.84","-47.17","-116.91","-69.95","31.88","49.85","-0.04","0.00","-0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","44.16","0.00","-17.08","0.00","0.00","0.00","0.00","0.00","0.00","-1.62","0.01","-1.06"
00:00:03,"2,955.51","-5,154.23","84.05","-0.83","-47.00","-115.88","-69.61","35.78","-129.01","-0.04","0.00","-0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","26.23","0.00","-16.92","0.00","0.00","0.00","0.00","0.00","0.00","-1.61","0.01","-0.93"
00:00:04,"2,963.39","-5,152.67","84.09","-0.81","-46.86","-114.53","-69.13","39.28","-292.94","-0.01","-0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.75","0.00","-18.64","0.00","0.00","0.00","0.00","0.00","0.00","-1.60","0.01","-0.64"
00:00:05,"2,971.24","-5,151.09","84.13","-0.80","-46.75","-112.97","-68.55","42.08","-445.83","-0.03","0.00","0.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.17","0.00","-20.59","0.00","0.00","0.00","0.00","0.00","0.00","-1.59","0.00","-0.05"
00:00:06,"2,979.06","-5,149.50","84.19","-0.78","-46.68","-111.35","-67.89","44.10","-586.39","-0.02","-0.00","0.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-5.98","0.00","-21.83","0.00","0.00","0.00","0.00","0.00","0.00","-1.58","0.00","0.00"
00:00:07,"2,986.84","-5,147.92","84.25","-0.77","-46.65","-109.85","-67.23","45.46","-711.91","-0.03","0.00","-0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-6.39","0.00","-21.02","0.00","0.00","0.00","0.00","0.00","0.00","-1.56","0.00","0.00"
00:00:08,"2,994.58","-5,146.34","84.32","-0.76","-46.64","-108.52","-66.57","46.63","-894.05","-0.01","-0.00","-0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-5.71","0.00","-19.21","0.00","0.00","0.00","0.00","0.00","0.00","-2.07","-9.37","721.64"
