OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_2
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,ALPHA Local position X,ALPHA Local position Y,ALPHA Ship state,ALPHA Heading,ALPHA Latitude,ALPHA Longitude,BRAVO Local position X,BRAVO Local position Y,BRAVO Ship state,BRAVO Heading,BRAVO Latitude,BRAVO Longitude,CHARLIE Local position X,CHARLIE Local position Y,CHARLIE Ship state,CHARLIE Heading,CHARLIE Latitude,CHARLIE Longitude
,meters,meters,,degrees,,,meters,meters,,degrees,,,meters,meters,,degrees,,
00:00:00,"9,580.07","-3,663.22",Running,"18.00","57.690349","11.867293","5,046.53","-5,927.47",Running,"45.00","57.669947","11.790886","2,932.94","-5,158.60",Running,"88.00","57.676876","11.755264"
00:00:01,"9,580.16","-3,663.02",Running,"18.00","57.690351","11.867294","5,051.22","-5,922.23",Running,"45.01","57.669994","11.790965","2,939.72","-5,157.67",Running,"88.01","57.676884","11.755378"
00:00:02,"9,580.26","-3,662.79",Running,"18.00","57.690353","11.867296","5,056.74","-5,916.05",Running,"45.03","57.670050","11.791058","2,947.69","-5,156.55",Running,"88.04","57.676895","11.755513"
00:00:03,"9,580.36","-3,662.55",Running,"17.99","57.690355","11.867298","5,062.24","-5,909.88",Running,"45.07","57.670105","11.791151","2,955.63","-5,155.38",Running,"88.09","57.676905","11.755647"
00:00:04,"9,580.47","-3,662.30",Running,"17.99","57.690358","11.867300","5,067.71","-5,903.73",Running,"45.12","57.670161","11.791243","2,963.55","-5,154.18",Running,"88.16","57.676916","11.755780"
00:00:05,"9,580.59","-3,662.04",Running,"17.98","57.690360","11.867302","5,073.15","-5,897.59",Running,"45.17","57.670216","11.791335","2,971.44","-5,152.95",Running,"88.25","57.676927","11.755913"
00:00:06,"9,580.72","-3,661.78",Running,"17.97","57.690362","11.867304","5,078.56","-5,891.47",Running,"45.24","57.670271","11.791426","2,979.30","-5,151.72",Running,"88.36","57.676938","11.756045"
00:00:07,"9,580.84","-3,661.50",Running,"17.96","57.690365","11.867306","5,083.94","-5,885.38",Running,"45.31","57.670326","11.791516","2,987.11","-5,150.48",Running,"88.48","57.676949","11.756177"
00:00:08,"9,580.98","-3,661.23",Running,"17.95","57.690367","11.867308","5,089.29","-5,879.32",Running,"45.39","57.670381","11.791607","2,994.87","-5,149.25",Running,"88.61","57.676960","11.756308"
