OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_4_10m_s
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,ALPHA Local position X,ALPHA Local position Y,ALPHA Ship state,ALPHA Heading,ALPHA Latitude,ALPHA Longitude
,meters,meters,,degrees,,
00:00:00,"11,755.56","-3,486.63",Running,"48.00","57.691940","11.903958"
00:00:01,"11,758.25","-3,484.20",Running,"48.00","57.691962","11.904003"
00:00:02,"11,761.42","-3,481.35",Running,"48.00","57.691988","11.904056"
00:00:03,"11,764.57","-3,478.50",Running,"48.00","57.692013","11.904110"
00:00:04,"11,767.73","-3,475.65",Running,"48.01","57.692039","11.904163"
00:00:05,"11,770.88","-3,472.81",Running,"48.01","57.692065","11.904216"
00:00:06,"11,774.03","-3,469.97",Running,"48.02","57.692090","11.904269"
00:00:07,"11,777.17","-3,467.14",Running,"48.03","57.692116","11.904322"
00:00:08,"11,780.31","-3,464.32",Running,"48.03","57.692141","11.904375"
00:00:09,"11,783.45","-3,461.49",Running,"48.04","57.692166","11.904428"
00:00:10,"11,786.58","-3,458.68",Running,"48.05","57.692192","11.904480"
00:00:11,"11,789.70","-3,455.87",Running,"48.06","57.692217","11.904533"
00:00:12,"11,792.83","-3,453.06",Running,"48.07","57.692242","11.904586"
00:00:13,"11,795.94","-3,450.26",Running,"48.07","57.692268","11.904638"
00:00:14,"11,799.06","-3,447.46",Running,"48.08","57.692293","11.904691"
00:00:15,"11,802.17","-3,444.66",Running,"48.09","57.692318","11.904743"
00:00:16,"11,805.28","-3,441.87",Running,"48.10","57.692343","11.904796"
00:00:17,"11,808.38","-3,439.09",Running,"48.11","57.692368","11.904848"
00:00:18,"11,811.48","-3,436.31",Running,"48.11","57.692393","11.904900"
00:00:19,"11,814.58","-3,433.53",Running,"48.12","57.692418","11.904952"
00:00:20,"11,817.68","-3,430.76",Running,"48.12","57.692443","11.905005"
00:00:21,"11,820.77","-3,427.99",Running,"48.12","57.692468","11.905057"
00:00:22,"11,823.86","-3,425.23",Running,"48.13","57.692493","11.905109"
00:00:23,"11,826.94","-3,422.47",Running,"48.12","57.692518","11.905161"
00:00:24,"11,830.02","-3,419.71",Running,"48.12","57.692543","11.905213"
00:00:25,"11,833.10","-3,416.96",Running,"48.12","57.692568","11.905265"
00:00:26,"11,836.17","-3,414.21",Running,"48.12","57.692592","11.905316"
00:00:27,"11,839.25","-3,411.47",Running,"48.11","57.692617","11.905368"
00:00:28,"11,842.32","-3,408.73",Running,"48.11","57.692642","11.905420"
00:00:29,"11,845.38","-3,405.99",Running,"48.10","57.692666","11.905472"
00:00:30,"11,848.45","-3,403.26",Running,"48.08","57.692691","11.905523"
00:00:31,"11,851.51","-3,400.53",Running,"48.07","57.692716","11.905575"
00:00:32,"11,854.57","-3,397.80",Running,"48.05","57.692740","11.905626"
00:00:33,"11,857.62","-3,395.08",Running,"48.03","57.692765","11.905678"
00:00:34,"11,860.68","-3,392.36",Running,"48.01","57.692789","11.905729"
00:00:35,"11,863.72","-3,389.65",Running,"47.99","57.692814","11.905781"
00:00:36,"11,866.77","-3,386.93",Running,"47.97","57.692838","11.905832"
00:00:37,"11,869.81","-3,384.22",Running,"47.94","57.692862","11.905883"
00:00:38,"11,872.85","-3,381.52",Running,"47.92","57.692887","11.905935"
00:00:39,"11,875.88","-3,378.81",Running,"47.90","57.692911","11.905986"
00:00:40,"11,878.92","-3,376.11",Running,"47.87","57.692936","11.906037"
00:00:41,"11,881.95","-3,373.41",Running,"47.84","57.692960","11.906088"
00:00:42,"11,884.98","-3,370.72",Running,"47.81","57.692984","11.906139"
00:00:43,"11,888.00","-3,368.02",Running,"47.78","57.693008","11.906190"
00:00:44,"11,891.02","-3,365.33",Running,"47.75","57.693033","11.906241"
00:00:45,"11,894.04","-3,362.64",Running,"47.71","57.693057","11.906292"
00:00:46,"11,897.05","-3,359.96",Running,"47.67","57.693081","11.906342"
00:00:47,"11,900.07","-3,357.28",Running,"47.63","57.693105","11.906393"
00:00:48,"11,903.07","-3,354.60",Running,"47.59","57.693129","11.906444"
00:00:49,"11,906.08","-3,351.92",Running,"47.54","57.693153","11.906495"
