OS: Passenger car ferry 2 (Dis.20300t)
Trainee: 
Exercise name: PrepareShips_Scenario_4_10m_s
Area: Swedish West Coast 931
Exercise start time: 12:00:00
Exercise date: 4/25/2022
Step (sec): 1
Model version: 2.166.1432.169 / 0.0.0.0 / 2.91.3084.0 / 2.31.10.0

time,Latitude,Longitude,COG,SOG,Heading,Log,Set,Drift,Transverse speed at ship's bow,Transverse speed at ship's stern,Port rudder angle,Rate of turn,Port engine RPM,Starboard engine RPM,Port propeller pitch,Starboard propeller pitch,Bow thruster gained power,Stern thruster gained power
,,,degrees,meters_per_second,degrees,meters_per_second,degrees,meters_per_second,meters_per_second,meters_per_second,degrees,degrees_per_minute,,,,,percent_tenths,percent_tenths
00:00:00,"57.691940","11.903958","47.94","4.26","48.00","4.26","318.00","0.00","-0.00","-0.00","0.00","0.0","86.000000","86.000000","44.000000","44.000000","0.0","0.0"
00:00:01,"57.691962","11.904003","47.95","4.26","48.00","4.26","318.00","0.00","-0.00","-0.00","0.00","0.0","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:02,"57.691988","11.904056","47.95","4.26","48.00","4.26","318.00","0.00","-0.00","-0.00","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:03,"57.692013","11.904110","47.96","4.26","48.00","4.26","318.00","0.00","-0.00","-0.01","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:04,"57.692039","11.904163","47.96","4.26","48.00","4.26","318.00","0.00","-0.00","-0.01","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:05,"57.692065","11.904216","47.96","4.26","48.01","4.26","318.01","0.00","-0.00","-0.01","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:06,"57.692090","11.904270","47.97","4.26","48.01","4.26","318.01","0.00","0.00","-0.01","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:07,"57.692116","11.904323","47.97","4.26","48.01","4.26","318.01","0.00","0.00","-0.01","0.00","0.2","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:08,"57.692142","11.904377","47.98","4.26","48.01","4.26","318.01","0.00","0.00","-0.01","0.00","0.2","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:09,"57.692168","11.904430","47.99","4.26","48.02","4.26","318.02","0.00","0.00","-0.01","0.00","0.2","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:10,"57.692193","11.904483","48.00","4.26","48.02","4.26","318.02","0.00","0.00","-0.01","0.00","0.2","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:11,"57.692219","11.904537","48.01","4.26","48.02","4.26","318.02","0.00","0.00","-0.00","0.00","0.2","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:12,"57.692245","11.904590","48.02","4.26","48.02","4.26","318.02","0.00","0.00","-0.00","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:13,"57.692270","11.904643","48.02","4.26","48.03","4.26","318.03","0.00","0.00","-0.00","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:14,"57.692296","11.904697","48.03","4.26","48.03","4.26","138.02","0.00","0.00","-0.00","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:15,"57.692322","11.904750","48.04","4.26","48.03","4.26","138.03","0.00","0.00","-0.00","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:16,"57.692347","11.904803","48.04","4.26","48.03","4.26","138.03","0.00","0.00","-0.00","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:17,"57.692373","11.904857","48.05","4.26","48.03","4.26","138.03","0.00","0.00","-0.00","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:18,"57.692398","11.904910","48.05","4.26","48.03","4.26","138.03","0.00","0.00","-0.00","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:19,"57.692424","11.904963","48.06","4.26","48.03","4.26","138.03","0.00","0.00","0.00","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:20,"57.692450","11.905017","48.06","4.26","48.04","4.26","138.04","0.00","0.00","0.00","0.00","0.1","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:21,"57.692475","11.905070","48.07","4.26","48.04","4.26","138.04","0.00","0.00","0.00","0.00","0.0","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
00:00:22,"57.692501","11.905124","48.07","4.26","48.04","4.26","138.04","0.00","0.00","0.00","0.00","-0.0","86.000000","86.000000","44.000000","44.000000","-5.0","0.0"
